,household_income_feeling,migration_want,planning_to_move12,prepared_to_move,why_no_leave
0,2,0,,,
1,1,1,0.0,,
2,3,1,0.0,,
3,1,0,,,
4,2,0,,,1 3 4
5,3,0,,,
6,2,0,,,
7,2,0,,,
8,3,99,,,3
9,2,0,,,
10,2,0,,,
11,2,1,0.0,,4 5
12,3,1,1.0,0.0,
13,2,0,,,5
14,2,0,,,
15,2,0,,,
16,2,0,,,
17,2,0,,,
18,2,1,0.0,,
19,4,0,,,
20,2,0,,,
21,2,1,0.0,,
22,2,0,,,2 4
23,2,1,0.0,,
24,1,1,0.0,,
25,2,1,0.0,,
26,4,0,,,
27,4,0,,,
28,4,99,,,
29,2,1,0.0,,9
30,3,99,,,
31,3,1,0.0,,3 4
32,2,1,1.0,1.0,
33,2,0,,,
34,2,0,,,
35,1,0,,,
36,1,0,,,
37,1,0,,,
38,3,0,,,
39,3,1,0.0,,7
40,3,1,0.0,,5
41,2,1,0.0,,
42,2,1,0.0,,
43,2,0,,,
44,2,1,0.0,,7
45,1,0,,,
46,4,0,,,9
47,3,0,,,
48,1,1,0.0,,
49,1,0,,,
50,3,0,,,
51,2,99,,,
52,2,1,0.0,,5
53,1,0,,,8
54,3,1,0.0,,3 4
55,2,1,0.0,,
56,2,0,,,
57,2,0,,,
58,2,0,,,
59,2,0,,,
60,2,1,0.0,,5
61,2,1,0.0,,
62,2,1,0.0,,
63,3,0,,,
64,2,0,,,
65,2,0,,,
66,4,0,,,
67,2,0,,,
68,1,0,,,
69,1,1,0.0,,
70,2,0,,,
71,2,0,,,
72,2,0,,,
73,1,1,1.0,0.0,3 4 5
74,3,1,1.0,1.0,7
75,99,0,,,
76,1,1,0.0,,9
77,3,0,,,
78,3,0,,,
79,1,0,,,
80,3,1,1.0,0.0,
81,1,0,,,
82,2,0,,,6
83,3,1,0.0,,5
84,2,99,,,
85,2,0,,,
86,3,1,0.0,,
87,3,1,0.0,,
88,3,0,,,
89,1,0,,,
90,1,1,0.0,,
91,2,1,0.0,,4 3
92,2,0,,,
93,3,0,,,4
94,2,1,0.0,,4 3
95,3,1,1.0,0.0,4
96,2,0,,,
97,2,0,,,
98,2,0,,,
99,2,0,,,
100,2,0,,,
101,1,0,,,
102,3,1,0.0,,3 4
103,3,1,0.0,,
104,4,1,0.0,,2 3
105,3,1,0.0,,4 3
106,1,1,0.0,,
107,2,0,,,
108,1,1,0.0,,
109,1,0,,,
110,1,0,,,4 5
111,1,0,,,3 4
112,2,1,1.0,1.0,
113,2,0,,,7
114,2,1,0.0,,
115,2,1,0.0,,
116,3,1,0.0,,4 3 5
117,3,1,0.0,,
118,2,0,,,
119,2,1,0.0,,
120,1,0,,,
121,2,0,,,5
122,2,1,0.0,,
123,1,1,0.0,,
124,2,1,0.0,,3 4
125,2,1,0.0,,
126,2,0,,,
127,2,1,0.0,,
128,2,0,,,
129,2,1,0.0,,
130,1,0,,,
131,2,1,1.0,1.0,
132,3,0,,,
133,1,0,,,
134,1,0,,,
135,2,1,0.0,,
136,2,0,,,
137,1,0,,,
138,2,0,,,
139,1,0,,,
140,3,99,,,
141,1,0,,,
142,3,1,0.0,,
143,2,0,,,
144,2,1,0.0,,
145,2,0,,,
146,2,0,,,
147,2,0,,,
148,2,0,,,
149,2,0,,,
150,2,0,,,
151,3,1,0.0,,1 4 8
152,2,1,0.0,,
153,3,0,,,
154,2,0,,,
155,3,1,0.0,,
156,2,0,,,
157,2,0,,,
158,1,1,0.0,,
159,2,0,,,
160,2,0,,,
161,2,1,0.0,,4
162,3,0,,,
163,2,1,0.0,,
164,2,0,,,
165,2,0,,,
166,4,0,,,3 4
167,3,0,,,
168,3,0,,,
169,2,0,,,
170,2,0,,,
171,2,0,,,
172,2,0,,,
173,2,0,,,
174,3,0,,,
175,3,0,,,
176,4,0,,,
177,4,0,,,
178,3,0,,,
179,1,0,,,
180,1,0,,,
181,2,0,,,
182,2,99,,,
183,1,0,,,
184,1,0,,,
185,4,1,1.0,0.0,3 4 9
186,3,0,,,
187,4,0,,,
188,3,1,0.0,,
189,3,1,0.0,,3 4
190,2,1,0.0,,
191,2,0,,,3 4
192,3,0,,,
193,3,0,,,
194,2,0,,,
195,2,1,0.0,,9
196,4,1,0.0,,9
197,2,1,0.0,,
198,3,1,0.0,,
199,4,0,,,
200,2,1,0.0,,6 5
201,2,1,0.0,,
202,4,0,,,
203,2,1,0.0,,
204,2,0,,,
205,2,0,,,
206,2,0,,,9
207,2,99,,,
208,2,1,0.0,,9
209,2,0,,,
210,1,0,,,
211,3,1,0.0,,
212,2,1,0.0,,
213,3,1,0.0,,
214,1,1,0.0,,
215,3,1,0.0,,3 4 9
216,3,1,0.0,,
217,1,1,0.0,,
218,1,1,1.0,1.0,
219,1,0,,,
220,2,0,,,
221,1,0,,,
222,3,1,0.0,,4 3
223,4,1,0.0,,
224,4,1,0.0,,
225,2,0,,,
226,2,1,0.0,,
227,3,0,,,3 4
228,1,0,,,
229,3,1,0.0,,
230,2,1,0.0,,
231,2,0,,,
232,3,1,0.0,,
233,3,1,0.0,,
234,2,0,,,
235,3,1,0.0,,5 4
236,3,1,0.0,,3 4
237,3,0,,,1 3 4
238,2,0,,,
239,2,0,,,9
240,4,1,0.0,,
241,2,0,,,
242,3,1,0.0,,
243,4,1,0.0,,
244,2,1,0.0,,
245,3,1,0.0,,
246,2,1,0.0,,
247,3,1,0.0,,3 4
248,2,1,0.0,,
249,2,0,,,3 6 2
250,2,0,,,
251,2,0,,,
252,3,0,,,
253,3,0,,,
254,3,1,0.0,,
255,1,99,,,
256,3,1,0.0,,5
257,3,0,,,
258,2,1,1.0,1.0,2
259,2,0,,,
260,2,1,0.0,,
261,4,0,,,2 3 4
262,3,0,,,3 4
263,3,1,0.0,,4 3 2
264,2,1,0.0,,
265,3,0,,,3 4
266,3,1,0.0,,
267,4,0,,,
268,4,1,0.0,,7 3
269,4,0,,,
270,3,0,,,
271,2,0,,,
272,2,1,0.0,,
273,2,1,1.0,1.0,
274,3,1,0.0,,2 3
275,3,0,,,
276,3,0,,,
277,3,0,,,
278,3,0,,,1 7
279,2,1,0.0,,3 4 5
280,2,1,0.0,,
281,2,0,,,
282,4,0,,,
283,4,0,,,
284,1,0,,,
285,2,1,0.0,,
286,2,0,,,
287,3,0,,,
288,3,0,,,
289,3,1,0.0,,4
290,2,0,,,
291,2,1,0.0,,
292,2,1,0.0,,8
293,3,1,1.0,0.0,2
294,3,1,0.0,,
295,3,1,0.0,,
296,2,1,0.0,,
297,4,1,0.0,,
298,2,0,,,
299,1,1,0.0,,
300,1,0,,,9 3 4
301,4,1,0.0,,4 3
302,2,1,0.0,,
303,99,1,0.0,,3
304,2,1,0.0,,
305,3,1,0.0,,4
306,3,0,,,
307,2,0,,,3
308,3,1,0.0,,8
309,2,0,,,
310,2,0,,,
311,2,0,,,
312,2,0,,,
313,2,0,,,
314,1,1,0.0,,6
315,1,1,0.0,,
316,2,1,1.0,0.0,
317,1,0,,,
318,2,0,,,
319,3,1,1.0,0.0,99
320,2,0,,,
321,3,0,,,
322,2,0,,,
323,4,0,,,1 9
324,2,0,,,
325,1,99,,,
326,1,0,,,
327,3,0,,,
328,2,0,,,
329,3,0,,,
330,2,0,,,
331,2,0,,,
332,3,0,,,
333,3,1,0.0,,
334,3,1,0.0,,
335,2,0,,,
336,2,1,0.0,,1 4 7
337,2,1,0.0,,
338,2,0,,,
339,2,1,0.0,,
340,2,0,,,
341,2,0,,,
342,2,0,,,
343,3,0,,,
344,4,0,,,
345,3,0,,,
346,3,0,,,
347,1,0,,,
348,3,0,,,
349,2,0,,,9
350,2,1,0.0,,
351,2,99,,,
352,2,0,,,
353,1,99,,,
354,3,1,0.0,,
355,2,1,0.0,,
356,2,0,,,9
357,2,0,,,
358,2,1,0.0,,
359,2,1,0.0,,
360,3,0,,,
361,3,1,0.0,,5
362,2,1,0.0,,
363,3,1,0.0,,3
364,2,1,0.0,,3
365,2,0,,,
366,1,1,0.0,,
367,1,0,,,
368,3,1,0.0,,3
369,2,0,,,
370,3,1,0.0,,9 1 2
371,2,1,0.0,,
372,2,1,0.0,,
