,mig_pend_sex,mig_pend_age,mig_pend_motivo,mig_pend_motivo/1,mig_pend_motivo/2,mig_pend_motivo/3,mig_pend_motivo/4,mig_pend_motivo/5,mig_pend_motivo/6,mig_pend_motivo/7,mig_pend_motivo/8,mig_pend_motivo/9,mig_pend_motivo/10,mig_pend_motivo/11,mig_pend_motivo/99,mig_pend_country,mig_pend_country/1,mig_pend_country/2,mig_pend_country/3,mig_pend_country/4,mig_pend_country/5,mig_pend_country/6,mig_pend_country/7,mig_pend_country/8,mig_pend_country/9,mig_pend_country/10,mig_pend_country/11,mig_pend_country/12,mig_pend_country/13,mig_pend_country/14,mig_pend_country/15,mig_pend_country/16,mig_pend_country/17,mig_pend_country/18,mig_pend_country/19,mig_pend_country/20,mig_pend_country/21,mig_pend_country/99,mig_pend_country_other,_index,_parent_table_name,rsp_id,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission__tags,country
0,2,40,4,0,0,0,1,0,0,0,0,0,0,0,0,19 7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,11,174344847,1d3bc585-be92-41c6-ac8d-f2af97fe8f77,2021-04-28T00:02:09,,[],submitted_via_web,wfpmandeteam,[],GT
1,2,35,4,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,11,174344847,1d3bc585-be92-41c6-ac8d-f2af97fe8f77,2021-04-28T00:02:09,,[],submitted_via_web,wfpmandeteam,[],GT
2,2,22,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,52,172949868,67db9013-95c7-4343-b04f-fd6658893d5b,2021-04-21T20:49:23,,[],submitted_via_web,wfpmandeteam,[],GT
3,2,30,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,102,172971062,998a8f0b-7c35-49ca-923a-fc4a304e0c6d,2021-04-22T00:57:25,,[],submitted_via_web,wfpmandeteam,[],GT
4,2,40,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,104,172971065,17bb6f13-8325-4c62-a5b2-a549531ae171,2021-04-22T00:57:27,,[],submitted_via_web,wfpmandeteam,[],GT
5,2,45,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,144,172995788,b6b8c6ea-f3e1-44f3-aa66-64cdc1b75939,2021-04-22T05:45:07,,[],submitted_via_web,wfpmandeteam,[],HND
6,2,29,7,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,7,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,179,173212349,92910c90-87c2-4c9b-a1ce-f280ff178186,2021-04-23T00:23:46,,[],submitted_via_web,wfpmandeteam,[],HND
7,2,24,4,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,218,173214654,bbd65f2d-00dc-4e98-a083-cabe8a9f77a6,2021-04-23T01:19:24,,[],submitted_via_web,wfpmandeteam,[],GT
8,2,30,3,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,224,173214681,95ffabcd-1db0-4e56-b1fb-2c7ccfd2027d,2021-04-23T01:19:32,,[],submitted_via_web,,[],GT
9,1,87,7 8,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,249,173215218,d65eec86-c838-43ec-adde-f3754e14633c,2021-04-23T01:31:51,,[],submitted_via_web,wfpmandeteam,[],GT
10,2,30,99,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,255,173215304,b3c204e7-ec3c-4050-a18d-06737ba882c5,2021-04-23T01:34:18,,[],submitted_via_web,,[],GT
11,1,35,8,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,264,173215407,b7661e07-d932-408a-96a2-964430f972fd,2021-04-23T01:37:48,,[],submitted_via_web,,[],GT
12,1,18,3,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,268,173215468,43bdeb93-08fa-415d-a2cb-ef525d88575c,2021-04-23T01:38:30,,[],submitted_via_web,wfpmandeteam,[],GT
13,2,18,3,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,279,173215792,5acfc542-aed2-4d87-8935-6fc099415f74,2021-04-23T01:42:36,,[],submitted_via_web,,[],GT
14,2,38,3,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,282,173215795,629492b1-1992-4392-a43b-e1fc3f25515b,2021-04-23T01:42:40,,[],submitted_via_web,,[],GT
15,3,0,99,0,0,0,0,0,0,0,0,0,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,322,173221406,54a3f617-7b9f-4fe5-b8a0-361a2b09deea,2021-04-23T03:16:22,,[],submitted_via_web,wfpmandeteam,[],GT
16,1,43,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,379,173402853,e059e90b-2b1c-4c35-beec-fd624d4cf470,2021-04-23T23:11:52,,[],submitted_via_web,wfpmandeteam,[],HND
17,2,22,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,379,173402853,e059e90b-2b1c-4c35-beec-fd624d4cf470,2021-04-23T23:11:52,,[],submitted_via_web,wfpmandeteam,[],HND
18,2,18,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,379,173402853,e059e90b-2b1c-4c35-beec-fd624d4cf470,2021-04-23T23:11:52,,[],submitted_via_web,wfpmandeteam,[],HND
19,2,28,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,424,173406254,88cfbce8-4a63-49ae-b2cf-f834104d3849,2021-04-23T23:58:01,,[],submitted_via_web,wfpmandeteam,[],GT
20,1,65,8,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,429,173407459,3d26cdf6-4c1c-4a2f-97a4-0bec3bc61835,2021-04-24T00:14:13,,[],submitted_via_web,wfpmandeteam,[],HND
